"","method","sites","weight","minCR","resample","MAE","lci","uci","Corr","mean.resid","MAE_0","MAE_10","MAE_25","mean.resid_0","mean.resid_10","mean.resid_25"
"68","rf","RFsites","CR","minCR3","ranAge",3.98,1.22,5.69,0.77,-0.11,1.2,3.54,5.12,3.16,1.03,-7.07
"69","rf","RFsites","CR","minCR3","ranAgeMeth",4.08,1.31,6.39,0.76,-0.17,1.52,4.08,6.91,3.35,1.05,-7.65
"70","rf","RFsites","CR","minCR4","best",3.62,1.5,6.76,0.76,-1.33,2.37,3.29,8.23,3.26,-0.09,-10.29
"71","rf","RFsites","ci.wt","minCR2","best",3.5,1.22,6.61,0.79,-1.8,1.12,3.24,8.11,2.56,-0.88,-9.73
"72","rf","RFsites","ci.wt","minCR3","best",3.43,0.97,6,0.79,-1.47,1.21,3.16,6.95,2.5,-0.53,-8.95
"73","rf","RFsites","ci.wt","minCR3","ranAge",3.68,1.39,5.95,0.78,-0.1,1.44,3.58,4.97,3.14,1.02,-6.94
"74","rf","RFsites","ci.wt","minCR3","ranAgeMeth",4.03,1.33,6.45,0.76,-0.23,1.5,4.13,7.61,3.29,1.05,-7.81
"75","rf","RFsites","ci.wt","minCR4","best",3.57,1.43,6.64,0.76,-1.28,2.39,3.2,8.46,3.28,-0.02,-10.26
"76","rf","RFsites","none","minCR2","best",3.72,1.25,6.65,0.79,-1.83,1.04,3.46,7.85,2.56,-0.96,-9.7
"77","rf","RFsites","none","minCR2","ranAge",3.35,1.9,5.77,0.79,0.44,1.9,3.16,4.78,3.55,1.58,-6.28
"78","rf","RFsites","none","minCR2","ranAgeMeth",3.92,1.48,6.35,0.77,0.32,2.03,3.92,6.28,3.58,1.66,-7.07
"79","rf","RFsites","none","minCR3","best",3.2,1,6.21,0.79,-1.34,1.27,3.07,6.8,2.54,-0.4,-8.68
"80","rf","RFsites","none","minCR3","ranAge",3.53,1.56,6.01,0.78,0.12,1.41,3.54,5.09,3.17,1.26,-6.53
"81","rf","RFsites","none","minCR3","ranAgeMeth",3.79,1.26,6.63,0.76,-0.03,1.29,3.93,7.05,3.36,1.26,-7.47
"82","rf","RFsites","none","minCR4","best",3.74,1.62,6.49,0.76,-1.2,2.21,3.5,8.28,3.3,0.09,-10.17
"83","rf","RFsites","none","minCR4","ranAge",4.26,1.76,6.21,0.76,-0.67,1.84,3.88,7.34,3.46,0.66,-9.21
"84","rf","RFsites","none","minCR4","ranAgeMeth",3.85,1.64,7.05,0.74,-0.78,1.95,3.85,8.49,3.54,0.54,-9.55
"85","rf","glmnet.5","CR","minCR2","best",3.81,1.43,7.2,0.77,-1.6,1.08,3.44,9.84,2.51,-0.39,-9.84
"86","rf","glmnet.5","CR","minCR3","best",3.62,1.31,6.51,0.76,-1.32,1.46,3.45,9.05,2.43,0.01,-9.36
"87","rf","glmnet.5","CR","minCR4","best",3.67,1.4,7.26,0.77,-1.32,2.24,3.17,9.98,3.12,-0.08,-10.09
"88","rf","glmnet.5","ci.wt","minCR2","best",3.79,1.71,7.38,0.77,-1.66,1.29,3.17,10.04,2.5,-0.47,-9.93
"89","rf","glmnet.5","ci.wt","minCR3","best",3.78,1.3,6.38,0.76,-1.29,1.59,3.71,8.81,2.36,0.07,-9.27
"90","rf","glmnet.5","ci.wt","minCR4","best",3.77,1.43,7.39,0.77,-1.28,2.23,3.11,9.73,3.11,0,-10.06
"91","rf","glmnet.5","none","minCR2","best",3.82,1.7,7.45,0.78,-1.64,1.17,3.52,9.7,2.45,-0.45,-9.82
"92","rf","glmnet.5","none","minCR3","best",3.69,1.25,6.61,0.77,-1.17,1.46,3.61,8.23,2.39,0.21,-9.02
"93","rf","glmnet.5","none","minCR4","best",3.84,1.39,7.35,0.78,-1.17,2.28,2.96,9.59,3.1,0.11,-9.79
